true_label,predicted_label,count,representation,split
B cells,B cells,537,PCA-50,val
CD14+ Monocytes,B cells,0,PCA-50,val
CD4 T cells,B cells,6,PCA-50,val
CD8 T cells,B cells,2,PCA-50,val
Dendritic cells,B cells,8,PCA-50,val
FCGR3A+ Monocytes,B cells,1,PCA-50,val
Megakaryocytes,B cells,2,PCA-50,val
NK cells,B cells,0,PCA-50,val
B cells,CD14+ Monocytes,1,PCA-50,val
CD14+ Monocytes,CD14+ Monocytes,967,PCA-50,val
CD4 T cells,CD14+ Monocytes,0,PCA-50,val
CD8 T cells,CD14+ Monocytes,0,PCA-50,val
Dendritic cells,CD14+ Monocytes,1,PCA-50,val
FCGR3A+ Monocytes,CD14+ Monocytes,36,PCA-50,val
Megakaryocytes,CD14+ Monocytes,1,PCA-50,val
NK cells,CD14+ Monocytes,0,PCA-50,val
B cells,CD4 T cells,5,PCA-50,val
CD14+ Monocytes,CD4 T cells,1,PCA-50,val
CD4 T cells,CD4 T cells,2158,PCA-50,val
CD8 T cells,CD4 T cells,31,PCA-50,val
Dendritic cells,CD4 T cells,0,PCA-50,val
FCGR3A+ Monocytes,CD4 T cells,4,PCA-50,val
Megakaryocytes,CD4 T cells,2,PCA-50,val
NK cells,CD4 T cells,1,PCA-50,val
B cells,CD8 T cells,0,PCA-50,val
CD14+ Monocytes,CD8 T cells,0,PCA-50,val
CD4 T cells,CD8 T cells,88,PCA-50,val
CD8 T cells,CD8 T cells,428,PCA-50,val
Dendritic cells,CD8 T cells,0,PCA-50,val
FCGR3A+ Monocytes,CD8 T cells,0,PCA-50,val
Megakaryocytes,CD8 T cells,0,PCA-50,val
NK cells,CD8 T cells,55,PCA-50,val
B cells,Dendritic cells,14,PCA-50,val
CD14+ Monocytes,Dendritic cells,12,PCA-50,val
CD4 T cells,Dendritic cells,0,PCA-50,val
CD8 T cells,Dendritic cells,1,PCA-50,val
Dendritic cells,Dendritic cells,77,PCA-50,val
FCGR3A+ Monocytes,Dendritic cells,3,PCA-50,val
Megakaryocytes,Dendritic cells,0,PCA-50,val
NK cells,Dendritic cells,0,PCA-50,val
B cells,FCGR3A+ Monocytes,1,PCA-50,val
CD14+ Monocytes,FCGR3A+ Monocytes,83,PCA-50,val
CD4 T cells,FCGR3A+ Monocytes,4,PCA-50,val
CD8 T cells,FCGR3A+ Monocytes,0,PCA-50,val
Dendritic cells,FCGR3A+ Monocytes,5,PCA-50,val
FCGR3A+ Monocytes,FCGR3A+ Monocytes,275,PCA-50,val
Megakaryocytes,FCGR3A+ Monocytes,0,PCA-50,val
NK cells,FCGR3A+ Monocytes,1,PCA-50,val
B cells,Megakaryocytes,3,PCA-50,val
CD14+ Monocytes,Megakaryocytes,2,PCA-50,val
CD4 T cells,Megakaryocytes,23,PCA-50,val
CD8 T cells,Megakaryocytes,2,PCA-50,val
Dendritic cells,Megakaryocytes,1,PCA-50,val
FCGR3A+ Monocytes,Megakaryocytes,2,PCA-50,val
Megakaryocytes,Megakaryocytes,32,PCA-50,val
NK cells,Megakaryocytes,1,PCA-50,val
B cells,NK cells,0,PCA-50,val
CD14+ Monocytes,NK cells,0,PCA-50,val
CD4 T cells,NK cells,0,PCA-50,val
CD8 T cells,NK cells,42,PCA-50,val
Dendritic cells,NK cells,0,PCA-50,val
FCGR3A+ Monocytes,NK cells,0,PCA-50,val
Megakaryocytes,NK cells,1,PCA-50,val
NK cells,NK cells,432,PCA-50,val
B cells,B cells,540,PCA-50,test
CD14+ Monocytes,B cells,0,PCA-50,test
CD4 T cells,B cells,4,PCA-50,test
CD8 T cells,B cells,0,PCA-50,test
Dendritic cells,B cells,5,PCA-50,test
FCGR3A+ Monocytes,B cells,3,PCA-50,test
Megakaryocytes,B cells,0,PCA-50,test
NK cells,B cells,0,PCA-50,test
B cells,CD14+ Monocytes,0,PCA-50,test
CD14+ Monocytes,CD14+ Monocytes,981,PCA-50,test
CD4 T cells,CD14+ Monocytes,0,PCA-50,test
CD8 T cells,CD14+ Monocytes,0,PCA-50,test
Dendritic cells,CD14+ Monocytes,4,PCA-50,test
